LON,LAT,TEMPC,TEMP.MAXC,TEMP.MINC,PREC,WDSP
17.967,50.616,16.3,22.2,11.1,5.08,3.2
19.033,50.233,15.3,26.5,10,5.08,4.2
20.7,50.817,14.4,25.1,10.9,2.03,3.9
10.45,64.4,13.9,18.8,11.9,4.32,12.1
20.7,49.617,16.2,25.4,13.9,2.03,2.2
21.767,49.7,17.2,24.9,14.2,0,5.6
22.767,49.8,18.3,29.7,15.8,0,3.6
10.933,63.467,15.5,22.1,11,2.54,7.4
19.517,48.117,19.4,26.9,14.7,0,4
20.767,48.1,22.7,28.6,18.7,0,3.1
11.683,63.783,17.6,20.6,11.8,4.83,7.8
22.167,48.4,22,28,16.8,0,2.4
16.6,47.683,17.1,22.7,12,13.21,6
12.833,64.717,17.2,22.4,11.1,8.13,6.2
17.283,47.883,17.6,23.7,12.4,6.86,6.5
17.5,47.2,17.1,23.1,12,0,6.9
19.267,47.433,20.1,26,15,NA,7
20.017,47.867,17.6,20.1,15.4,0,6.5
20.383,47.9,22.1,28,17.5,NA,4.8
11.383,62.567,13.1,17.8,8.9,3.56,6.2
11.583,64.467,15,21,12,NA,9.4
12.383,64.533,16.2,22.7,11,5.33,3.7
16.317,46.917,15.4,21.3,11.5,11.18,1.7
17.167,46.683,18.1,23.1,14.3,0,10.1
17.833,46.383,18.8,25.1,13.6,0,4
18.233,46,19.4,25,14.9,0,6
18.85,46.583,20.3,26.9,14.4,0,4
19.017,46.183,19.9,27.1,13.4,0,4
21.167,46.683,21.9,29.4,13.2,0,2.4
4.683,61.567,14.4,15.1,13.4,0,9.5
4.717,60.75,14.6,16.3,13.2,0,16.8
14.583,45.217,24.8,27,20,0,11.2
6.1,60.633,14.2,19.8,11.8,6.35,2
19.15,45.767,21.2,27.5,15.2,0,5.8
20.417,45.367,22.6,28.1,15.8,0,3.2
20.467,45.85,21.8,28.2,14.8,0,3.9
21.033,45.05,22.9,29.2,15.6,0,5.6
6.55,61.9,11.6,14.5,6.4,25.4,2.3
5.983,60.85,13.7,18.1,10.6,10.41,NA
19.55,45.1,21.4,27,17,0,4.7
19.917,44.317,22.1,27.2,18.3,0,3.6
20.283,44.817,22.7,27.1,17,0,6.7
20.283,44.917,21.9,27,16,0,4.9
20.95,44.367,22.9,29,17,0,3.9
21.95,44.117,15.9,20.9,11.1,0,9.2
22.55,44.233,21.8,28.9,15.6,0,2.4
6.767,61.433,13.5,17.1,10.6,9.4,1.9
17.783,43.333,27.6,36,19,0,3.5
19.35,43.35,20.2,28,13.9,0,4.1
19.717,43.733,18.6,23.1,15.8,0,3.3
20,43.283,17.8,27,10.4,0,1.9
6.433,60.633,15.3,19.2,12.6,5.84,2.8
20.033,43.833,20.3,28.6,13.4,0,2.4
20.7,43.7,23,31,14,0,4.1
19.7,43.9,18.1,23,13,0,4.8
21.9,43.333,24.1,30.5,17,0,6.6
21.95,42.983,22.7,31.3,13.8,0,3.4
22.75,43.017,20.3,29.8,12.2,0,6.1
6.95,60.7,11.2,14,9.5,0,NA
19.1,42.1,26.6,31.3,22.7,0,4.3
19.283,42.433,30.6,36.5,21.9,0,3.3
21.033,42.567,23.4,30,17,0,7.5
7.533,60.6,7.3,9.1,5.2,1.27,9.2
7.483,60.183,6,7.3,4.4,0,11.8
7.3,61.06,14.3,16.8,11.8,4.32,NA
20.8,41.117,22.1,31,14,0,5.2
20.817,41.1,21.8,31.1,13.7,0,4.9
8.2,60.533,10.3,14.1,7.6,6.1,5.1
22.183,41.75,24.7,33,16,0,3.9
22.85,41.717,20.1,28.5,10.2,0,2.8
19.533,42.1,29.4,36.2,21.7,0,6
20.433,41.683,25.3,33.4,19.4,0,4.5
19.483,40.467,28.8,34.2,19.2,0,2
20.767,40.6,22.7,29,16,0,5.1
8,61.567,5.8,10.5,3.7,0,7.8
9.233,60.983,13.4,16.3,10.5,NA,4.6
9.3,61,10.2,11,9,NA,9.6
10.133,61.467,8,11.9,4.9,0,11.7
10.467,61.1,13.9,17,11.1,17.53,6.5
11.15,61.4,13.7,16.9,10.1,0,8.3
11.083,60.2,12.9,16.6,10,6.1,10.9
11.067,60.817,13.4,16.1,10.7,7.37,6.2
11.1,60.8,14.4,17.3,11.7,7.62,NA
12.017,60.617,13.7,16.9,10.6,5.59,6.2
14.517,46.067,19,23.4,16.4,2.79,2.7
15.283,46.067,13.9,16.2,10.5,0,3.2
15.683,46.483,17.6,22.2,13,0,3.2
3.25,56.55,12.3,14,11,NA,37.2
5.067,59.917,13.9,15.6,12.2,0,15.5
5.217,59.35,12.7,14,11,NA,15.9
13.567,45.517,23.9,30,16,0,7.5
5.067,59.433,13.1,14.1,12.2,0,21.6
5.733,58.95,12.3,15.6,11,0.51,NA
14.633,45.6,14.6,21.7,11.5,0,4.6
15.567,45.5,18.4,24.1,14.8,0,2.5
15.883,46.133,18.2,23.8,14.5,0,4.5
15.967,45.8,20.6,24.6,17.1,0,3.4
16.067,45.733,19.1,24.6,13,0,5.6
16.367,45.5,18.6,25.2,15.2,0,3.5
16.383,46.3,17.3,23.3,13.9,0,4.6
16.55,46.033,18.8,24,15.2,0,3.4
6.517,58.517,11.9,15.3,10.5,4.57,7.3
16.85,45.9,19.2,24.7,15.5,0,5.7
17.2,45.883,19.3,24.5,14,0,4.8
7.45,58.017,13.8,16.3,11.8,6.6,NA
13.933,45.233,21.9,30.2,14.8,0,4.7
14.583,45.217,25.7,26.7,24.6,0,11.2
14.767,44.75,27.5,31,23.6,0,5.1
15.233,45.267,17,21.2,14.2,0,3.9
15.367,44.55,18,24.3,14.8,0,5
7.367,59.767,8.3,10,6.9,8.13,4
18.7,45.15,21.4,26.8,14.9,0,5.9
7.8,58.667,11.8,13.6,10.8,1.52,10.4
15.35,44.1,25.3,32.5,17,0,6.7
15.917,43.733,26.9,33.8,21.3,0,12.3
16.3,43.533,28.2,33.3,21.8,0,5.3
16.683,43.283,27.6,30,23,0,5.6
16.45,43.167,29.2,33.3,25,0,2.9
16.9,42.767,28.5,31.9,23.5,0,6.1
17.017,43.283,28.6,33,24.6,0,2.1
17.433,43.033,29.5,33.8,20.8,0,5.8
17.467,44.067,20.5,36.1,13,0,3.9
18.433,44.883,21.7,36,14.9,0,5.6
17.8,43.35,30.3,35,20.6,0,4.8
18.033,43.767,19.1,31.3,13.8,0,2.5
18.267,43.717,14.7,16.3,13.5,0,6.2
18.433,43.867,22.4,29.2,16.2,0,3.4
17.6,42.917,29.5,32.5,24.6,0,3.3
12,60.183,13.3,16.4,10.3,7.87,5
10.25,60.167,14,17.8,11.7,6.6,5.7
9.633,59.617,13.6,17.5,11.2,27.94,2.5
10,59.75,14.8,19.1,12.4,12.95,4.2
10.35,59.233,13.9,17.4,11.2,15.75,4.8
10.267,59.2,13.6,16,11,NA,10.6
11.583,59.917,13.1,16.1,10.7,11.68,8.2
10.45,59.317,13.1,15,12,NA,23.1
-10.833,59.933,13.9,18,11.3,0,5.7
10.833,60.117,13.6,17.1,11.2,15.49,3.3
10.683,59.983,10.4,13,8.7,25.15,7.9
10.717,59.95,14.1,17.8,11.7,0,8.2
10.783,59.383,13.7,16.5,11.7,16.26,8.4
26.65,47.733,20.4,28.4,12.1,0,4.6
21.9,47.033,23.6,30,17,0,5.7
25.95,46.983,13.4,17.5,8.5,0,6.3
23.567,46.783,19.9,27.9,12.7,0,3.7
24.533,46.533,19.4,29,12,0,4.6
26.917,46.533,19.1,29.1,9,0,4.3
21.35,46.133,22.3,30.8,13.3,0,2.7
25.45,45.45,10.2,13.1,6.2,0,0.6
28.033,45.483,21.2,28.1,13.2,0,4.3
26.85,45.133,21.4,29,14.1,0,6.6
29.733,45.167,23.1,23.7,22.2,0,14.8
22.633,44.633,23.3,30,18.1,0,1.6
23.883,46.5,22.3,29,12,0,4.2
24.983,44.1,20.3,27.5,12.5,0,4.7
28.65,44.217,23.4,25.8,21.4,0,3.6
28.607,43.985,22.9,26,18,0,7.8
22.8,44.167,22.6,29.3,17.5,0,3.6
23.533,43.2,20.1,27,14.2,0,3.4
23.25,43.817,21.9,28.2,16.4,0,4.9
23.967,43.683,21.6,28.3,15.5,0,5.8
24.717,43.133,19.9,28,11.2,0,3.4
24.73,42.29,21.3,28,13,0,4.9
26.35,42.45,21.5,29,15,0,8.4
24.6,43.4,20.8,27.6,14,0,3.2
25.35,43.617,21.3,29.5,13.7,0,3.2
25.95,43.85,21.8,28.2,14.2,0,4.4
28.533,43.533,22.6,25.6,14.4,0,10.7
28.467,43.367,22.3,25.6,19.5,0,13.6
22.767,42.267,21.3,30.4,11.2,0,2.4
22.933,42.933,19.3,27,12.6,0,8
23.267,42.583,9.4,12.4,6.3,0,11.2
23.583,42.183,8.1,11.4,6,0,7.8
24.85,42.067,20.1,28.5,11.4,0,2.2
24.333,42.217,19.9,28.5,11.4,0,1.5
26.317,42.667,21.4,28,14.2,0,5.8
27.483,42.483,21.8,27,17,0,12.2
23.267,41.517,24.9,34,18,0,5.6
25.367,41.65,20.5,27.4,14.8,0,17.2
10.5,46.833,13,17,6,0,3.9
11.333,46.467,19.4,29.3,9.9,2.03,2.4
11.033,46.15,9.4,13.4,4.7,0,8
13.583,46.5,16.8,21,9.8,0,3.8
7.6,45.083,24.2,28,13,0,0.6
10.283,45.417,25.4,30.4,14.3,0,4.1
10.867,45.383,24.9,30.4,19,0,4.7
13.75,45.65,24.4,29,21.6,0,11.9
8.85,44.417,23.9,27.7,19.8,0,7.1
11.617,44.833,26.4,30.2,16,0,2.1
12.067,44.2,23.6,30.5,14.4,0,4.8
10.383,43.683,22.1,28,15,0,4.5
11.2,43.8,23.8,33.4,14,0,3.2
11.85,43.467,21.6,32,9,0,1.1
12.5,43.083,24.3,32,12,0,4.4
13.367,43.617,23.6,28,17.1,0,5.9
10.4,42.733,22.7,25.6,18.4,0,8.5
11.083,42.75,22.8,30.2,14.8,0,4.5
11.817,42.017,25.4,28,20,0,8.9
15,42,27.8,29.4,25,0,10.9
12.5,41.95,26.1,31,17,0,4.5
12.583,41.783,24.4,32,18.8,0,4.5
12.233,41.8,23.3,27.8,16.7,0,7.6
12.9,41.55,26.9,31.2,19,0,5.6
12.45,41.65,23.8,28.6,19,0,NA
14.65,41.567,23.6,29.6,20,0,1.1
10.283,44.817,24.4,30,16,0,3
7.617,44.533,19.2,27,9,0,4.4
10.333,45.417,24.3,30,15,0,4.7
15.533,41.433,28.6,32,25,0,13.3
15.717,41.533,30.1,34,24.4,0,17.6
12.95,40.917,25.6,29.8,23.6,0,8.4
15.883,39.583,25.7,28.6,22.4,0,7.5
18.35,39.817,25.9,28.4,24,0,5.5
15.55,38.2,28,31.2,25.8,0,5.5
15.65,38.067,26.9,29,25,0,16.8
12.5,37.917,24.1,28,18.8,0,5.2
14.283,37.567,24.9,33,21.4,0,3.2
14.217,37.083,27.4,30,24.8,0,9.6
12.6,35.5,26.2,27.5,24,0,17.1
9.517,40.9,23.8,30.1,19,0,10.3
8.967,39.35,23.4,29.2,18,0,11.8
9.517,39.1,25.1,32,21,0,16.9
24.6,40.983,25.4,29,18,0,10.9
25.917,40.85,24.7,31,19,0,13.3
21.783,40.3,23.7,29,16,0,2
19.917,39.617,26.2,32,21,0,3.9
20.767,38.617,25.8,31.4,21,0,6.2
21.283,37.917,25.5,31,18,0,3.6
21.417,38.15,26.8,32,21,0,6.9
23.533,38.317,22.7,27,19,0,7.5
22.4,37.533,22.8,28.2,11,0,5
23.95,37.933,24.7,28,22,0,14.8
20.883,37.75,27.6,32,21,0,3.3
26.917,37.7,27.8,32,23.8,0,8.1
22.017,37.067,24.2,29,20,NA,4.2
24.95,37.417,23.9,25,22,0,12.9
25.467,36.4,24.4,27,23,0,12.2
28.083,36.4,26.7,31,24,0,11.3
25.183,35.333,24.9,27,19,0,13.3
27.133,35.417,25.9,27,24,0,23.7
33.783,41.983,24,28,13.7,0,3.6
36.55,41.25,21.3,26.7,15.1,0,5
26.567,41.667,24.4,30.2,15.4,0,4.6
27.55,40.983,25.4,28.3,18.8,0,10
28.817,40.967,24.1,29.2,21,0,11.9
29.833,40.667,24.4,32.8,18.6,0,3.5
34.533,38.767,20.7,30,10,0,6.2
36.567,41.25,21.6,27,16,0,4.6
27,39.55,26.7,31,21,0,16.7
31.6,40.733,22.4,29.7,11.3,0,3
33.617,40.6,19.4,30.5,8.7,0,1.6
35.583,40.85,19.7,28,10,0,12.2
34.95,40.55,21.3,27,7.7,0,6
36.567,40.3,20.8,29,13.8,0,5.6
37.017,39.75,18.4,29.4,6,0,6.5
39.517,39.7,21.4,31.2,10.8,0,3.2
41.833,37.967,36.4,37,35,0,4
43.05,39.733,19.2,23.6,13,0,12.8
26.4,40.133,24.7,30,20,0,18.2
27.967,40.317,23.7,27.2,21,0,17.2
29.967,40.15,21.2,30.2,13,0,7.4
30.567,39.783,20.9,30.4,10.1,0,4.2
33,40.117,20.2,27.5,11.3,0,8.7
32.683,39.95,22.6,29,15,0,8.2
34.8,39.817,18.9,24.7,11,0,6
27.017,39.583,29.7,31.8,26.2,0,4.9
29.967,39.417,24.9,29.5,11.6,0,3
34.167,39.15,21.9,28.9,11.5,0,6.8
43.35,38.467,19.6,25.3,13.7,0,7.6
26.7,39.3,28.4,32.6,25.6,0,6.7
27.85,38.917,28.6,33.5,19.4,0,8
30.6,38.733,19,28.6,7.6,0,5.1
34.7,38.617,21.8,25.8,16.2,0,3.5
35.433,38.817,18.8,28.4,6.7,0,2.6
38.083,38.433,24.1,33,14,0,5.1
38.883,37.483,29.4,35,23,0,6.2
39.283,38.6,25.2,33.7,14.7,0,5.4
41.95,37.933,32.4,36.5,22.5,0,3
27.15,38.267,26.6,32.3,20.9,0,12.2
27.167,38.433,26.1,28.8,21.9,0,6.6
27.85,37.85,28.1,34,20.8,0,3.1
30.55,37.75,23.8,31.1,14.9,0,2.9
34.683,37.967,22.7,29.4,13.1,0,4.9
36.933,37.6,28.9,36.3,20,0,5.4
38.283,37.75,35.7,37,33,0,3.3
27.667,37.25,25.1,33,18,0,5
41.117,37.883,27.3,38,14,0,4.4
27.433,37.033,29.6,33.5,24,0,4.2
28.367,37.217,29.3,34.7,20.9,0,3.7
28.783,36.7,26.7,31.6,19,0,6.3
29.117,36.617,32.3,34,29.8,0,3.9
28.267,36.85,31.7,33.2,29,0,3.7
30.7,36.867,28.1,30.2,26.1,0,3.5
32.833,36.083,31.1,34.2,22.8,0,6.6
36.167,37.167,31.8,33.1,29.5,0,5.8
36.167,36.583,30.3,32,27.2,0,5.3
36.283,36.35,28.4,32,25,0,14.2
32.833,35.816,27.6,29.8,24.7,0,2.9
32.967,35.3,27.6,30.4,21.3,0,7.7
33.333,35.35,29,32.3,23.5,0,4.2
33.35,35.2,29.8,37.4,21,0,4.2
33.933,35.133,29.1,34.8,23.5,0,6.4
34.383,35.583,27.4,31.5,24.4,0,10
32.482,34.717,26.5,30.5,20,0,6.8
18.167,68.417,11.9,15.5,8.5,1.02,2.8
18.167,68.417,12.8,15.3,9.5,2.79,2.7
18.3,67.5,16.3,21.2,12.9,0,9.1
104.3,77.717,2.3,2.6,2.1,0.51,18.9
19.833,68.067,15.1,19.4,11.2,1.78,4.5
68.55,76.95,2.1,2.8,1.2,0,0
19.033,67.85,14.9,20.1,10.8,1.27,3.9
20.267,67.25,15.8,17.7,14.1,4.32,4.5
20.333,67.817,16.4,21,12,NA,8.1
20.65,67.15,16.4,18.5,14.5,1.02,3.6
52.7,72.367,3.4,4.1,2.3,NA,10.4
22.45,68.45,15.4,20.5,11.1,3.81,4.6
102.467,71.983,5.8,8.3,1.4,0.51,11.2
14.517,65.099,11.4,13.4,6.1,0,16.3
17.7,64.95,16.1,19,12,0,5.9
16.117,66.683,15.4,18.9,13.1,1.27,6
16.433,66.483,15.7,17.8,14.5,NA,7.5
17.867,65.567,15.7,17.9,12.3,0.51,3.2
19.217,66.317,14.8,16.8,12.3,0.51,4.9
19.683,66.5,16.6,18.4,14.6,NA,5.4
18.6,65.15,15.6,17.8,11.7,0,4.9
20.167,66.483,16.9,19.5,14.6,1.52,3.9
20.15,65.883,17.8,21.1,14,0,3.6
20.933,66.75,16.3,18,14.5,1.78,3.6
21.067,65.667,17.9,22.4,14.5,0,4.1
22.85,66.267,17.6,21.4,15.2,0,5.2
22.333,66.817,17.2,20.1,15.5,0.25,5.1
113.967,70.133,8.3,12.8,3,0,3.9
127.4,70.683,12,18.1,8.9,5.59,5.8
147.883,70.617,4.7,10.5,0.5,0,6.8
24.117,65.817,17.6,20.6,14.8,0,6.3
23.467,66.617,17.4,20.2,15.6,0,7.3
35.117,69.2,12.9,16.8,10.1,16.26,12.1
