,x
146,BLD_sd2_L
147,BLD_sd3_L
148,BLD_sd4_L
149,BLD_sd5_L
150,BLD_sd6_L
151,CEC_sd1_L
152,CEC_sd2_L
153,CEC_sd3_L
154,CEC_sd4_L
155,CEC_sd5_L
156,CEC_sd6_L
157,OCSTHA_sd1_L
158,OCSTHA_sd2_L
159,OCSTHA_sd3_L
160,OCSTHA_sd4_L
161,OCSTHA_sd5_L
162,OCSTHA_sd6_L
163,TAXGWRB
164,TAXGWRB_Acrisols
165,TAXGWRB_Albeluvisols
166,TAXGWRB_Alisols
167,TAXGWRB_Andosols
168,TAXGWRB_Anthrosols
169,TAXGWRB_Arenosols
170,TAXGWRB_Calcisols
171,TAXGWRB_Cambisols
172,TAXGWRB_Chernozems
173,TAXGWRB_Cryosols
174,TAXGWRB_Durisols
175,TAXGWRB_Ferralsols
176,TAXGWRB_Fluvisols
177,TAXGWRB_Gleysols
178,TAXGWRB_Gypsisols
179,TAXGWRB_Histosols
180,TAXGWRB_Kastanozems
181,TAXGWRB_Leptosols
182,TAXGWRB_Lixisols
183,TAXGWRB_Luvisols
184,TAXGWRB_Nitisols
185,TAXGWRB_Phaeozems
186,TAXGWRB_Planosols
187,TAXGWRB_Plinthosols
188,TAXGWRB_Podzols
189,TAXGWRB_Podzoluvisols
190,TAXGWRB_Regosols
191,TAXGWRB_Solonchaks
192,TAXGWRB_Solonetz
193,TAXGWRB_Stagnosols
194,TAXGWRB_Umbrisols
195,TAXGWRB_Vertisols
196,TAXOUSDA
197,TAXOUSDA_Albolls
198,TAXOUSDA_Aqualfs
199,TAXOUSDA_Aquands
200,TAXOUSDA_Aquents
201,TAXOUSDA_Aquepts
202,TAXOUSDA_Aquerts
203,TAXOUSDA_Aquods
204,TAXOUSDA_Aquolls
205,TAXOUSDA_Aquox
206,TAXOUSDA_Aquults
207,TAXOUSDA_Arents
208,TAXOUSDA_Argids
209,TAXOUSDA_Calcids
210,TAXOUSDA_Cambids
211,TAXOUSDA_Cryalfs
212,TAXOUSDA_Cryands
213,TAXOUSDA_Cryepts
214,TAXOUSDA_Cryids
215,TAXOUSDA_Cryods
216,TAXOUSDA_Cryolls
217,TAXOUSDA_Durids
218,TAXOUSDA_Fibrists
219,TAXOUSDA_Fluvents
220,TAXOUSDA_Folists
221,TAXOUSDA_Gypsids
222,TAXOUSDA_Hemists
223,TAXOUSDA_Humods
224,TAXOUSDA_Humults
225,TAXOUSDA_Orthents
226,TAXOUSDA_Orthods
227,TAXOUSDA_Perox
228,TAXOUSDA_Psamments
229,TAXOUSDA_Rendolls
230,TAXOUSDA_Salids
231,TAXOUSDA_Saprists
232,TAXOUSDA_Torrands
233,TAXOUSDA_Torrerts
234,TAXOUSDA_Torrox
235,TAXOUSDA_Udalfs
236,TAXOUSDA_Udands
237,TAXOUSDA_Udepts
238,TAXOUSDA_Uderts
239,TAXOUSDA_Udolls
240,TAXOUSDA_Udox
241,TAXOUSDA_Udults
242,TAXOUSDA_Ustalfs
243,TAXOUSDA_Ustands
244,TAXOUSDA_Ustepts
245,TAXOUSDA_Usterts
246,TAXOUSDA_Ustolls
247,TAXOUSDA_Ustox
248,TAXOUSDA_Ustults
249,TAXOUSDA_Vitrands
250,TAXOUSDA_Xeralfs
251,TAXOUSDA_Xerepts
252,TAXOUSDA_Xererts
253,TAXOUSDA_Xerolls
254,TAXOUSDA_Xerults
255,BDRLOG_M
256,BDRLOG_L
257,BDRLOG_U
258,BDRICM
259,OCSTHA_M
